	date	bitcoin	btc	bitcoin price	bitcoin kurs	bitcoin usd	bitcoin stock	bitcoin dollar	bitcoin euro	buy bitcoin	buy btc	btc usd	btc inr	price btc	btc stock	btc coin	btc euro
134	2021-05-15	10.89	11.56	7.0200000000000005	12.540000000000001	10.2	4.5600000000000005	12.25	28.05	18.88	32.400000000000006	11.200000000000001	15.54	4.62	0.5	31.900000000000002	15.91
135	2021-05-16	12.95	13.69	9.299999999999999	12.540000000000001	12.6	3.4000000000000004	18.900000000000002	26.01	14.190000000000001	10.559999999999999	14.82	11.889999999999999	9.0	3.8000000000000003	34.199999999999996	23.76
136	2021-05-17	27.03	27.04	24.009999999999998	31.919999999999998	26.46	27.14	35.1	47.25	24.509999999999998	40.599999999999994	28.560000000000002	27.45	17.22	21.150000000000002	45.6	20.8
137	2021-05-18	16.4	15.21	14.44	19.78	17.22	17.48	19.68	42.0	20.72	27.95	15.989999999999998	24.0	9.57	14.399999999999999	27.0	18.0
138	2021-05-19	100.0	100.0	100.0	100.0	100.0	87.0	100.0	100.0	60.0	78.0	100.0	67.94	100.0	82.0	100.0	100.0
139	2021-05-20	56.98	44.89	67.23	60.83	71.33999999999999	43.88999999999999	65.12	77.4	36.08	52.5	56.09	47.88	43.56	37.800000000000004	44.02	50.160000000000004
140	2021-05-21	36.0	33.6	37.82	39.0	46.86	26.220000000000002	41.61	52.44	21.66	32.0	33.32	55.18	25.5	17.849999999999998	43.4	27.72
141	2021-05-22	27.04	25.5	25.0	28.080000000000002	29.64	7.54	28.080000000000002	50.92	18.150000000000002	8.0	30.09	26.68	13.65	5.72	21.5	21.6
142	2021-05-23	40.96	39.69	34.809999999999995	40.2	50.37	10.080000000000002	70.31	58.59	29.93	29.700000000000003	42.0	87.0	27.03	5.2	57.72	34.68
143	2021-05-24	31.92	31.360000000000003	33.64	35.910000000000004	40.3	31.849999999999998	57.72	49.699999999999996	24.400000000000002	8.99	36.18	38.940000000000005	27.03	27.14	16.32	30.240000000000002
144	2021-05-25	21.150000000000002	19.8	19.8	26.5	20.24	23.65	30.240000000000002	40.95	10.5	20.4	21.73	22.05	13.32	15.19	18.0	17.490000000000002
145	2021-05-26	15.21	14.43	14.04	18.48	15.96	14.7	21.73	29.5	10.360000000000001	7.7	13.94	28.91	8.370000000000001	11.7	26.950000000000003	18.0
146	2021-05-27	11.9	10.56	10.85	14.06	12.6	12.709999999999999	22.09	23.46	10.34	5.94	12.16	18.240000000000002	6.5	14.850000000000001	13.600000000000001	6.2
147	2021-05-28	13.69	12.959999999999999	10.56	15.75	15.96	11.78	23.03	25.0	9.25	4.140000000000001	16.919999999999998	24.380000000000003	6.5	18.48	10.729999999999999	9.62
148	2021-05-29	12.58	12.6	11.88	17.22	18.48	4.6000000000000005	19.74	18.45	11.760000000000002	10.44	14.96	25.08	5.76	1.1900000000000002	8.68	6.24
149	2021-05-30	11.22	11.22	9.92	13.69	12.870000000000001	2.85	16.34	22.14	6.29	1.7000000000000002	12.09	15.99	5.06	0.99	16.0	6.72
150	2021-05-31	10.56	10.56	9.61	13.32	13.32	4.68	20.0	18.48	6.08	15.34	11.879999999999999	14.4	4.6000000000000005	4.930000000000001	9.450000000000001	12.959999999999999
151	2021-06-01	20.88	21.39	21.08	23.43	19.8	20.48	19.8	24.2	18.48	27.0	25.2	34.0	15.41	15.34	12.9	21.840000000000003
152	2021-06-02	21.9	19.43	23.1	25.9	22.78	21.12	28.29	26.1	15.01	36.0	20.8	41.870000000000005	9.200000000000001	8.4	17.92	7.800000000000001
153	2021-06-03	21.3	20.099999999999998	22.01	20.8	25.16	25.16	42.660000000000004	33.15	23.759999999999998	17.4	30.810000000000002	19.52	14.49	22.01	23.4	19.78
154	2021-06-04	25.41	21.3	24.64	29.049999999999997	23.04	26.95	27.38	28.080000000000002	14.06	21.080000000000002	22.080000000000002	33.88	12.809999999999999	16.0	25.740000000000002	16.28
155	2021-06-05	20.88	20.009999999999998	17.28	19.880000000000003	22.75	7.739999999999999	19.8	19.68	19.0	21.46	20.15	35.6	9.88	4.760000000000001	34.0	11.84
156	2021-06-06	21.0	16.740000000000002	15.0	26.860000000000003	19.720000000000002	7.02	19.720000000000002	19.78	22.91	9.28	20.130000000000003	29.93	11.66	1.1900000000000002	24.82	7.590000000000001
157	2021-06-07	21.3	17.64	15.34	22.63	17.669999999999998	17.25	21.060000000000002	22.44	13.68	11.889999999999999	19.84	12.0	9.0	16.240000000000002	13.33	19.599999999999998
158	2021-06-08	42.0	38.949999999999996	31.45	42.68	37.72	34.04	57.99999999999999	48.64	23.5	12.24	48.0	42.120000000000005	25.5	37.1	26.97	11.88
159	2021-06-09	32.56	29.97	26.180000000000003	33.54	28.5	25.840000000000003	36.0	36.400000000000006	12.73	24.65	37.309999999999995	31.98	19.44	23.4	10.5	17.25
160	2021-06-10	25.41	23.68	19.43	22.5	20.46	22.950000000000003	34.78	31.35	18.630000000000003	14.96	19.2	47.7	10.4	13.2	7.7	10.56
161	2021-06-11	17.55	15.860000000000001	12.48	18.0	11.96	13.8	27.6	44.839999999999996	10.08	12.95	16.200000000000003	11.34	6.72	12.35	15.95	51.24
162	2021-06-12	14.5	13.44	9.45	14.0	9.6	4.68	14.96	22.56	18.2	14.25	13.780000000000001	26.23	4.08	2.04	9.350000000000001	26.220000000000002
