unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1629961200,2021-08-26 07:00:00,BTC/USD,46856.03,47030.00,46550.00,46865.96,238.14074952,11160694.84137434
1629957600,2021-08-26 06:00:00,BTC/USD,47070.00,47282.99,46600.00,46868.93,304.94177945,14292294.91511749
1629954000,2021-08-26 05:00:00,BTC/USD,47889.33,48062.27,46850.00,47070.00,149.47585329,7035828.4143603
1629950400,2021-08-26 04:00:00,BTC/USD,47905.24,47999.50,47614.73,47909.32,67.07862654,3213691.384065353
1629946800,2021-08-26 03:00:00,BTC/USD,48704.24,48732.56,47837.46,47928.62,107.59731758,5156990.94731114
1629943200,2021-08-26 02:00:00,BTC/USD,48757.22,48846.54,48662.48,48734.11,36.26386847,1767287.3550425116
1629939600,2021-08-26 01:00:00,BTC/USD,49337.97,49357.14,48744.56,48757.22,39.54719409,1928211.2426288298
1629936000,2021-08-26 00:00:00,BTC/USD,49022.39,49387.60,48845.02,49314.29,75.94740232,3745292.2227551527
1629932400,2021-08-25 23:00:00,BTC/USD,48967.82,49131.39,48839.23,49011.75,58.36776856,2860706.48072058
1629928800,2021-08-25 22:00:00,BTC/USD,49102.00,49273.93,48828.02,48923.41,53.64161903,2624330.9208684927
1629925200,2021-08-25 21:00:00,BTC/USD,48707.31,49102.00,48696.51,49093.05,61.13699585,3001401.5941138426
1629921600,2021-08-25 20:00:00,BTC/USD,48697.99,49062.46,48623.04,48707.58,39.08320704,1903648.4335573632
1629918000,2021-08-25 19:00:00,BTC/USD,48979.95,49180.00,48552.03,48684.36,99.44561665,4841446.201410594
1629914400,2021-08-25 18:00:00,BTC/USD,48848.80,49051.68,48772.22,48948.07,66.17176804,3238980.334045683
1629910800,2021-08-25 17:00:00,BTC/USD,48735.12,49094.00,48522.71,48836.24,144.86084377,7074458.932954225
1629907200,2021-08-25 16:00:00,BTC/USD,48834.54,48881.56,48630.98,48735.35,38.35811904,1869396.3567560639
1629903600,2021-08-25 15:00:00,BTC/USD,48487.77,48927.84,48328.60,48829.94,129.91915523,6343944.554731587
1629900000,2021-08-25 14:00:00,BTC/USD,47676.37,48529.96,47341.01,48479.66,199.11374063,9652966.447070586
