	date	bitcoin_unscaled	bitcoin_monthly	scale	bitcoin
221	2021-03-10	83	54.0	0.54	44.82
222	2021-03-11	77	54.0	0.54	41.580000000000005
223	2021-03-12	78	54.0	0.54	42.120000000000005
224	2021-03-13	100	54.0	0.54	54.0
225	2021-03-14	96	52.0	0.52	49.92
226	2021-03-15	88	52.0	0.52	45.760000000000005
227	2021-03-16	79	52.0	0.52	41.08
228	2021-03-17	76	52.0	0.52	39.52
229	2021-03-18	73	52.0	0.52	37.96
230	2021-03-19	71	52.0	0.52	36.92
231	2021-03-20	63	52.0	0.52	32.76
232	2021-03-21	63	47.0	0.47	29.61
233	2021-03-22	70	47.0	0.47	32.9
234	2021-03-23	67	47.0	0.47	31.49
235	2021-03-24	78	47.0	0.47	36.66
236	2021-03-25	81	47.0	0.47	38.07
237	2021-03-26	70	47.0	0.47	32.9
238	2021-03-27	66	47.0	0.47	31.02
239	2021-03-28	62	45.0	0.45	27.900000000000002
240	2021-03-29	68	45.0	0.45	30.6
241	2021-03-30	70	45.0	0.45	31.5
242	2021-03-31	70	45.0	0.45	31.5
243	2021-04-01	58	45.0	0.45	26.1
244	2021-04-02	52	45.0	0.45	23.400000000000002
245	2021-04-03	48	45.0	0.45	21.6
246	2021-04-04	46	42.0	0.42	19.32
247	2021-04-05	51	42.0	0.42	21.419999999999998
248	2021-04-06	49	42.0	0.42	20.58
249	2021-04-07	47	42.0	0.42	19.74
250	2021-04-08	45	42.0	0.42	18.9
251	2021-04-09	43	42.0	0.42	18.06
252	2021-04-10	50	42.0	0.42	21.0
253	2021-04-11	48	54.0	0.54	25.92
254	2021-04-12	48	54.0	0.54	25.92
255	2021-04-13	66	54.0	0.54	35.64
256	2021-04-14	73	54.0	0.54	39.42
257	2021-04-15	60	54.0	0.54	32.400000000000006
258	2021-04-16	68	54.0	0.54	36.72
259	2021-04-17	54	54.0	0.54	29.160000000000004
260	2021-04-18	94	67.0	0.67	62.980000000000004
261	2021-04-19	78	67.0	0.67	52.260000000000005
262	2021-04-20	67	67.0	0.67	44.89
263	2021-04-21	59	67.0	0.67	39.53
264	2021-04-22	68	67.0	0.67	45.56
265	2021-04-23	100	67.0	0.67	67.0
266	2021-04-24	72	67.0	0.67	48.24
267	2021-04-25	66	50.0	0.5	33.0
268	2021-04-26	66	50.0	0.5	33.0
269	2021-04-27	62	50.0	0.5	31.0
270	2021-04-28	55	50.0	0.5	27.5
271	2021-04-29	51	50.0	0.5	25.5
272	2021-04-30	50	50.0	0.5	25.0
